,id,postcode,geometry,addresses
71537,,,-87.7162825999999995 41.9551745999999994,"4045 N DRAKE AVE, Chicago, Illinois"
112998,,,-87.7162598999999972 41.9293776000000022,"2636 N DRAKE AVE, Chicago, Illinois"
35889,,,-87.7180122999999980 41.9907772999999978,"6016 N DRAKE AVE, Chicago, Illinois"
36702,,,-87.7171979000000022 41.9869810000000001,"5811 N DRAKE AVE, Chicago, Illinois"
69767,,,-87.7166035000000051 41.9656868000000003,"4631 N DRAKE AVE, Chicago, Illinois"
145506,,,-87.7145874999999933 41.9131982999999977,"1745 N DRAKE AVE, Chicago, Illinois"
35122,,,-87.7173709000000059 41.9928138000000004,"6125 N DRAKE AVE, Chicago, Illinois"
111817,,,-87.7155522000000047 41.9292282999999983,"2633 N DRAKE AVE, Chicago, Illinois"
201556,,,-87.7148358000000030 41.8981623999999968,"925 N DRAKE AVE, Chicago, Illinois"
62713,,,-87.7167297000000019 41.9700178000000008,"4855 N DRAKE AVE, Chicago, Illinois"
201562,,,-87.7148193000000020 41.8976686999999970,"909 N DRAKE AVE, Chicago, Illinois"
202769,,,-87.7155460999999974 41.8984026999999983,"934 N DRAKE AVE, Chicago, Illinois"
223963,,,-87.7153971999999982 41.8939929000000006,"708 N DRAKE AVE, Chicago, Illinois"
201501,,,-87.7149428999999969 41.8958591000000027,"811 N DRAKE AVE, Chicago, Illinois"
101464,,,-87.7160552999999936 41.9470725999999985,"3617 N DRAKE AVE, Chicago, Illinois"
210753,,,-87.7153437999999994 41.8890687000000028,"440 N DRAKE AVE, Chicago, Illinois"
113712,,,-87.7161825999999962 41.9266422000000034,"2502 N DRAKE AVE, Chicago, Illinois"
72269,,,-87.7163027999999940 41.9558290000000014,"4103 N DRAKE AVE, Chicago, Illinois"
36700,,,-87.7172101000000026 41.9873925999999997,"5825 N DRAKE AVE, Chicago, Illinois"
71445,,,-87.7169786999999985 41.9549076999999997,"4036 N DRAKE AVE, Chicago, Illinois"
102710,,,-87.7165626000000032 41.9399090000000001,"3220 N DRAKE AVE, Chicago, Illinois"
101332,,,-87.7168747999999994 41.9512840000000011,"3838 N DRAKE AVE, Chicago, Illinois"
61924,,,-87.7174174000000022 41.9694432000000006,"4834 N DRAKE AVE, Chicago, Illinois"
110191,,,-87.7158089999999930 41.9387247000000016,"3145 N DRAKE AVE, Chicago, Illinois"
145096,,,-87.7154735999999957 41.9129799999999975,"1738 N DRAKE AVE, Chicago, Illinois"
110180,,,-87.7164719999999960 41.9375406999999996,"3100 N DRAKE AVE, Chicago, Illinois"
210593,,,-87.7146211999999963 41.8912523999999991,"533 N DRAKE AVE, Chicago, Illinois"
201553,,,-87.7148440999999934 41.8984092000000032,"935 N DRAKE AVE, Chicago, Illinois"
36601,,,-87.7179344000000043 41.9881242000000015,"5850 N DRAKE AVE, Chicago, Illinois"
73192,,,-87.7170876999999933 41.9584779999999995,"4232 N DRAKE AVE, Chicago, Illinois"
145088,,,-87.7154905000000014 41.9135423999999972,"1756 N DRAKE AVE, Chicago, Illinois"
111407,,,-87.7164865999999961 41.9379521999999980,"3116 N DRAKE AVE, Chicago, Illinois"
71464,,,-87.7170294999999953 41.9565736999999999,"4130 N DRAKE AVE, Chicago, Illinois"
110193,,,-87.7158036000000010 41.9385794000000018,"3139 N DRAKE AVE, Chicago, Illinois"
223976,,,-87.7147250000000014 41.8947468000000001,"735 N DRAKE AVE, Chicago, Illinois"
144447,,,-87.7146342000000061 41.9147346999999968,"1833 N DRAKE AVE, Chicago, Illinois"
36058,,,-87.7171629999999993 41.9858199000000027,"5735 N DRAKE AVE, Chicago, Illinois"
34361,,,-87.7181132000000048 41.9942433000000008,"6214 N DRAKE AVE, Chicago, Illinois"
73491,,,-87.7163678999999945 41.9579737999999978,"4215 N DRAKE AVE, Chicago, Illinois"
210597,,,-87.7146111999999931 41.8909200000000013,"521 N DRAKE AVE, Chicago, Illinois"
103057,,,-87.7158253000000059 41.9396034000000029,"3209 N DRAKE AVE, Chicago, Illinois"
202765,,,-87.7155570000000040 41.8987318000000002,"946 N DRAKE AVE, Chicago, Illinois"
223953,,,-87.7154227999999989 41.8948129999999992,"738 N DRAKE AVE, Chicago, Illinois"
35887,,,-87.7180172000000056 41.9909419999999969,"6022 N DRAKE AVE, Chicago, Illinois"
145090,,,-87.7154864999999972 41.9133916999999983,"1752 N DRAKE AVE, Chicago, Illinois"
34300,,,-87.7173865999999975 41.9933485000000033,"6145 N DRAKE AVE, Chicago, Illinois"
34362,,,-87.7181108000000052 41.9941606000000007,"6210 N DRAKE AVE, Chicago, Illinois"
223954,,,-87.7154187000000007 41.8947158000000002,"736 N DRAKE AVE, Chicago, Illinois"
101672,,,-87.7162033999999977 41.9524277000000012,"3911 N DRAKE AVE, Chicago, Illinois"
210575,,,-87.7153157999999991 41.8910101000000026,"524 N DRAKE AVE, Chicago, Illinois"
147293,,,-87.7145316999999949 41.9113912999999982,"1645 N DRAKE AVE, Chicago, Illinois"
223980,,,-87.7147168999999991 41.8944724999999991,"725 N DRAKE AVE, Chicago, Illinois"
210316,,,-87.7147604000000030 41.8923154000000011,"615 N DRAKE AVE, Chicago, Illinois"
36062,,,-87.7171531999999985 41.9854906999999997,"5723 N DRAKE AVE, Chicago, Illinois"
209915,,,-87.7153694999999942 41.8930347000000012,"640 N DRAKE AVE, Chicago, Illinois"
202202,,,-87.7155024999999995 41.8971073000000018,"854 N DRAKE AVE, Chicago, Illinois"
210300,,,-87.7153445999999946 41.8921630999999977,"608 N DRAKE AVE, Chicago, Illinois"
145376,,,-87.7146963000000000 41.9167354000000003,"1941 N DRAKE AVE, Chicago, Illinois"
36055,,,-87.7171703000000065 41.9860668999999973,"5743 N DRAKE AVE, Chicago, Illinois"
72361,,,-87.7169970000000063 41.9555057999999974,"4056 N DRAKE AVE, Chicago, Illinois"
103452,,,-87.7149854000000033 41.9396112000000016,"3209 N DRAKE AVE, Chicago, Illinois"
100492,,,-87.7161248000000029 41.9495542000000015,"3741 N DRAKE AVE, Chicago, Illinois"
208729,,,-87.7145371000000011 41.8883873999999992,"405 N DRAKE AVE, Chicago, Illinois"
36416,,,-87.7171084000000008 41.9839820999999986,"5633 N DRAKE AVE, Chicago, Illinois"
103064,,,-87.7153686000000050 41.9396070000000023,"3209 N DRAKE AVE, Chicago, Illinois"
