,id,postcode,geometry,addresses
102309,,,-87.7165889999999990 41.9408688999999981,"3254 N DRAKE AVE, Chicago, Illinois"
114123,,,-87.7154828000000037 41.9267892000000018,"2509 N DRAKE AVE, Chicago, Illinois"
201539,,,-87.7155269000000004 41.8978271000000007,"914 N DRAKE AVE, Chicago, Illinois"
36061,,,-87.7171555999999981 41.9855730000000023,"5725 N DRAKE AVE, Chicago, Illinois"
144599,,,-87.7145641000000040 41.9124432999999996,"1719 N DRAKE AVE, Chicago, Illinois"
145101,,,-87.7154586000000052 41.9124995999999967,"1720 N DRAKE AVE, Chicago, Illinois"
36016,,,-87.7177975999999973 41.9834786999999992,"5614 N DRAKE AVE, Chicago, Illinois"
62782,,,-87.7167522000000019 41.9708455999999970,"4919 N DRAKE AVE, Chicago, Illinois"
34689,,,-87.7174056000000064 41.9940029999999993,"6201 N DRAKE AVE, Chicago, Illinois"
71465,,,-87.7170274000000063 41.9565049999999999,"4126 N DRAKE AVE, Chicago, Illinois"
102300,,,-87.7166071000000045 41.9415204000000017,"3312 N DRAKE AVE, Chicago, Illinois"
71536,,,-87.7162847000000028 41.9552431999999982,"4047 N DRAKE AVE, Chicago, Illinois"
112916,,,-87.7162761000000017 41.9298962000000017,"2656 N DRAKE AVE, Chicago, Illinois"
101732,,,-87.7161521999999962 41.9505561000000000,"3811 N DRAKE AVE, Chicago, Illinois"
69757,,,-87.7172946000000024 41.9652771000000016,"4616 N DRAKE AVE, Chicago, Illinois"
208728,,,-87.7145435000000049 41.8885939999999977,"409 N DRAKE AVE, Chicago, Illinois"
61584,,,-87.7167383000000029 41.9703324999999978,"4901 N DRAKE AVE, Chicago, Illinois"
111736,,,-87.7155642999999969 41.9296123000000023,"2645 N DRAKE AVE, Chicago, Illinois"
102301,,,-87.7166052000000036 41.9414518000000029,"3310 N DRAKE AVE, Chicago, Illinois"
62224,,,-87.7167218000000020 41.9697250999999980,"4845 N DRAKE AVE, Chicago, Illinois"
69760,,,-87.7173154999999980 41.9659660000000017,"4640 N DRAKE AVE, Chicago, Illinois"
113268,,,-87.7156171999999970 41.9314275999999992,"2745 N DRAKE AVE, Chicago, Illinois"
35574,,,-87.7180366000000049 41.9916004000000029,"6044 N DRAKE AVE, Chicago, Illinois"
73489,,,-87.7163769999999943 41.9587474000000000,"4229 N DRAKE AVE, Chicago, Illinois"
145091,,,-87.7154842000000059 41.9133229999999983,"1750 N DRAKE AVE, Chicago, Illinois"
71071,,,-87.7164845000000071 41.9618341999999984,"4423 N DRAKE AVE, Chicago, Illinois"
202699,,,-87.7147870999999952 41.8967023000000012,"839 N DRAKE AVE, Chicago, Illinois"
103054,,,-87.7160307000000046 41.9396016000000031,"3209 N DRAKE AVE, Chicago, Illinois"
71455,,,-87.7170485000000042 41.9571917000000028,"4152 N DRAKE AVE, Chicago, Illinois"
208719,,,-87.7145491999999933 41.8887953999999993,"419 N DRAKE AVE, Chicago, Illinois"
61490,,,-87.7168587999999971 41.9747725000000003,"5129 N DRAKE AVE, Chicago, Illinois"
71067,,,-87.7164941000000056 41.9621509999999986,"4435 N DRAKE AVE, Chicago, Illinois"
111406,,,-87.7164891000000040 41.9380207999999968,"3118 N DRAKE AVE, Chicago, Illinois"
102318,,,-87.7165720999999934 41.9402517999999986,"3232 N DRAKE AVE, Chicago, Illinois"
101451,,,-87.7160851999999949 41.9481429000000006,"3655 N DRAKE AVE, Chicago, Illinois"
